,Autoridad Administrativa del Agua ,Administración Local del Agua ,Departamento,Provincia,Distrito,Sector,Zona,Este (Inicial),Norte (Inicial),Este (Final),Norte (Final),Longitud,Propuesta de Actividad,Latitud
15,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Naranjal,18,415209.0,9444442.0,415209.0,9444442.0,-75.76489396673432,Defensa Ribereña con Sistema de Geobolsas,-5.025729669344046
16,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Puerto industrial,18,344713.0,9456062.0,344713.0,9456062.0,-76.40051228981729,Defensa Ribereña con Sistema de Geobolsas,-4.919583748478659
17,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,San Jose,18,393321.0,9445453.0,393321.0,9445453.0,-75.96231385129119,Defensa Ribereña con Sistema de Geobolsas,-5.0163233924804
18,Amazonas,Alto Amazonas,LORETO,DATEM DEL MARAÑON,PASTAZA,Ullpayacu,18,323562.0,9486098.0,323562.0,9486098.0,-76.59059644611314,Defensa Ribereña con Sistema de Geobolsas,-4.64753470479122
19,Amazonas,Iquitos,LORETO,LORETO,NAUTA,C.C.Palizada,18,609573.0,9501789.0,609573.0,9501789.0,-74.01231015874673,Defensa Ribereña con Geocontenedores,-4.506706539709405
20,Amazonas,Iquitos,LORETO,LORETO,NAUTA,C.N. Miraflores,18,601357.0,9506174.0,601357.0,9506174.0,-74.08641178545639,Defensa Ribereña con Geocontenedores,-4.467138485773566
21,Amazonas,Iquitos,LORETO,LORETO,NAUTA,C.N. Nueva Santa Roisa,18,584627.0,9490690.0,584627.0,9490690.0,-74.23705184170062,Defensa Ribereña con Geocontenedores,-4.607378241110158
22,Amazonas,Iquitos,LORETO,LORETO,NAUTA,C.N. Puerto America,18,586504.0,9490635.0,586504.0,9490635.0,-74.2201303987743,Defensa Ribereña con Geocontenedores,-4.607857400730687
23,Amazonas,Iquitos,LORETO,LORETO,NAUTA,C.N. Santa Isabel de Yumbaturo,18,582158.0,9493687.0,582158.0,9493687.0,-74.25933761904035,Defensa Ribereña con Geocontenedores,-4.580291011692952
24,Amazonas,Iquitos,LORETO,LORETO,NAUTA,Comunidad Nativa de Lisboa,18,597613.0,9503856.0,597613.0,9503856.0,-74.12013079704008,Defensa Ribereña y Reforestación,-4.488147673334203
25,Amazonas,Iquitos,LORETO,LORETO,NAUTA,Comunidad Nativa de Solterito,18,606821.0,9504410.0,606821.0,9504410.0,-74.0371453766273,Defensa Ribereña y Reforestación,-4.483031661699138
26,Amazonas,Iquitos,LORETO,LORETO,NAUTA,Comunidad Nativa San Martin,18,593033.0,9501462.0,593033.0,9501462.0,-74.16138640770407,Defensa Ribereña y Reforestación,-4.509851890705377
27,Amazonas,Iquitos,LORETO,LORETO,NAUTA,Malecon Buenos Aires-Ciudad de Nauta,18,657865.0,9501336.0,657865.0,9501336.0,-73.57707539966289,Defensa Ribereña y Reforestación,-4.510081398737222
28,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Bolivar,18,573462.0,9481882.0,573462.0,9481882.0,-74.33762976801805,Defensa Ribereña con Geocontenedores,-4.687157279878963
29,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Bolivar,18,579758.0,9485073.0,579758.0,9485073.0,-74.28089419287475,Defensa Ribereña con Geocontenedores,-4.658235403977922
30,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Leoncio Prado,18,578829.0,9483017.0,578829.0,9483017.0,-74.28925099641846,Defensa Ribereña y Reforestación,-4.67684251981874
31,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Nueva Arica,18,566211.0,9484250.0,566211.0,9484250.0,-74.40302402878716,Defensa Ribereña con Geocontenedores,-4.665794750898266
32,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Roca Fuerte,18,536143.0,9500193.0,536143.0,9500193.0,-74.67418638239309,Defensa Ribereña con Geocontenedores,-4.521743266585873
33,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. San Juan,18,575975.0,9487916.0,575975.0,9487916.0,-74.31502521594439,Defensa Ribereña con Geocontenedores,-4.63255149088737
34,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. San Martin de Tipishca,18,566231.0,9481764.0,566231.0,9481764.0,-74.40282466104689,Defensa Ribereña con Geocontenedores,-4.688283488142793
35,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. San Miguel,18,589408.0,9482885.0,589408.0,9482885.0,-74.19387177871621,Defensa Ribereña con Geocontenedores,-4.677933275305089
36,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N. Tangarana,18,565842.0,9492196.0,565842.0,9492196.0,-74.40641082148251,Defensa Ribereña con Geocontenedores,-4.593916204864957
37,Amazonas,Iquitos,LORETO,LORETO,PARINARI,C.N.Buena Vista Jerusalen,18,550226.0,9499759.0,550226.0,9499759.0,-74.54723405052056,Defensa Ribereña con Geocontenedores,-4.525601188347868
38,Amazonas,Iquitos,LORETO,LORETO,PARINARI,Comunidad Nativa Santa Rita de Castilla,18,569018.0,9492046.0,569018.0,9492046.0,-74.37777798326469,Defensa Ribereña y Reforestación,-4.595248718113663
39,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Alianza,18,456024.0,9467354.0,456024.0,9467354.0,-75.39659054368686,Defensa Ribereña con Geocontenedores,-4.8187858446716
40,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Huallpa Isla,18,517775.0,9483553.0,517775.0,9483553.0,-74.83973171893557,Defensa Ribereña con Geocontenedores,-4.672335828880952
41,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Maypuco,18,486633.0,9466143.0,486633.0,9466143.0,-75.12055097620961,Defensa Ribereña con Geocontenedores,-4.829846317342419
42,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Monterrico,18,449989.0,9462281.0,449989.0,9462281.0,-75.45104555616807,Defensa Ribereña con Geocontenedores,-4.864644228589805
43,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Nueva Esperanza,18,489656.0,9467601.0,489656.0,9467601.0,-75.0932861233115,Defensa Ribereña con Geocontenedores,-4.8166605849382345
44,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Ollanta,18,525896.0,9498599.0,525896.0,9498599.0,-74.76655344202227,Defensa Ribereña con Geocontenedores,-4.536199329240097
45,Amazonas,Iquitos,LORETO,LORETO,URARINAS,Comunidad Nativa Saramuro,18,507875.0,9478882.0,507875.0,9478882.0,-74.92899071896542,Defensa Ribereña con Geocontenedores,-4.714607681399752
46,Amazonas,Iquitos,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,C.P.San Pablo,19,266972.0,9555624.0,266972.0,9555624.0,-71.098820267607,Defensa Ribereña con Geocontenedores,-4.0176366137544735
47,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,Diamante Azul,18,635067.0,9568413.0,635067.0,9568413.0,-73.78347420188989,Defensa ribereña con geocontenedores de geotextil,-3.903759066486023
48,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,Miraflores,18,644043.0,9582190.0,644043.0,9582190.0,-73.70283061922963,Defensa ribereña con geocontenedores de geotextil,-3.7790307315320883
49,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,Monte Calvario,18,642769.0,9584410.0,642769.0,9584410.0,-73.71433107221638,Defensa ribereña con geocontenedores de geotextil,-3.7589687776056975
50,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,Saboya,18,644300.0,9577564.0,644300.0,9577564.0,-73.70045400371218,Defensa ribereña con geocontenedores de geotextil,-3.8208674507005176
51,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,San Juan de Ungurahual,18,632047.0,9568457.0,632047.0,9568457.0,-73.81067139888391,Defensa ribereña con geocontenedores de geotextil,-3.9034001393547864
52,Amazonas,Iquitos,LORETO,MAYNAS,ALTO NANAY,Santa Maria de Nanay,18,644677.0,9569682.0,644677.0,9569682.0,-73.69695080593996,Defensa ribereña con geocontenedores de geotextil,-3.8921514148858645
53,Amazonas,Iquitos,LORETO,MAYNAS,BELEN,A.H.Santa Rosa-Calle Benavides,18,694118.08,9583575.38,694118.08,9583575.38,-73.25203115955533,Defensa Ribereña con Geocontenedores,-3.7657098928523256
54,Amazonas,Iquitos,LORETO,MAYNAS,BELEN,Localidad de Munich,18,686657.0,9565154.0,686657.0,9565154.0,-73.31886910358178,Defensa Ribereña con Geocontenedores,-3.932426787103621
55,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Calle San Toribio-Caserio Augusto Freyre Garcia,18,692838.69,9563250.15,692838.69,9563250.15,-73.2631748064016,Defensa Ribereña con Geocontenedores,-3.949528353895516
56,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Centro Poblado Menor Rosa Maria Aucayo,18,704801.0,9573353.0,704801.0,9573353.0,-73.15567074723175,Defensa Ribereña con Geocontenedores,-3.857943704044647
57,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Huaysi,18,701790.0,9539523.0,701790.0,9539523.0,-73.18210082708246,Construcción de defensa ribereña con muro de bolsacreto,-4.163902829021797
58,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Mangua,18,693117.0,9540871.0,693117.0,9540871.0,-73.2602366169299,Construcción de defensa ribereña con geocontenedores,-4.151890209421124
59,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Monte Verde,18,704891.0,9571788.99,704891.0,9571788.99,-73.1548299636622,Construcción de defensa ribereña con geocontenedores,-3.8720839984349995
60,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Muyuy I Zona,18,698455.0,9569913.0,698455.0,9569913.0,-73.21273513449789,Construcción de defensa ribereña con geocontenedores,-3.889172196090141
61,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Panguana I Zona,18,704850.0,9564031.0,704850.0,9564031.0,-73.1550457696401,Construcción de defensa ribereña con geocontenedores,-3.942233877885151
62,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Panguana II Zona,18,706068.91,9568554.94,706068.91,9568554.94,-73.14416195259518,Construcción de defensa ribereña con geocontenedores,-3.901303427145331
63,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Samaria I Zona,18,691158.0,9545386.0,691158.0,9545386.0,-73.27796763810204,Construcción de defensa ribereña con geocontenedores,-4.111101047477855
64,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad San Jorge I Zona,18,703107.0,9551578.0,703107.0,9551578.0,-73.17048872070548,Construcción de defensa ribereña con geocontenedores,-4.054871524549207
65,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Santa Ana de Muyuy,18,698157.0,9571407.0,698157.0,9571407.0,-73.21544638771846,Construcción de defensa ribereña con geocontenedores,-3.875668429870299
66,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,Comunidad Tapira,18,702609.0,9544322.0,702609.0,9544322.0,-73.17482456534191,Construcción de defensa ribereña con geocontenedores,-4.120492118456063
67,Amazonas,Iquitos,LORETO,MAYNAS,FERNANDO LORES,CP. Rosario Aucayo,18,704807.0,9572977.0,704807.0,9572977.0,-73.15560939622745,Construcción de defensa ribereña con geocontenedores,-3.861343447605086
68,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,C.C.Manco Cápac,18,721681.0,9610996.0,721681.0,9610996.0,-73.00447754821607,Defensa Ribereña con Geocontenedores de Geotextil,-3.517253522250285
69,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Caserio Jorge Chavez,18,731759.0,9614468.0,731759.0,9614468.0,-72.9138667879731,Defensa Ribereña con Geocontenedores,-3.485664188029327
70,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Caserio Nuevo Paraiso,18,734327.0,9614285.0,734327.0,9614285.0,-72.8907582444007,Defensa Ribereña con Geocontenedores de Geotextil,-3.4872669523287065
71,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Caserio Timicuro I Zona,18,718406.0,9607422.0,718406.0,9607422.0,-73.03387853921507,Defensa Ribereña con Geocontenedores de Geotextil,-3.5496310553144816
72,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Caserio Uchiza,18,723940.0,9613653.0,723940.0,9613653.0,-72.98420242176623,Defensa Ribereña con Geocontenedores,-3.4931868056774795
73,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Centro Poblado Maniti II Zona,18,740934.0,9612329.0,740934.0,9612329.0,-72.83127448627363,Defensa Ribereña con Geocontenedores,-3.504814376647594
74,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Comunidad Campesina Santa Victoria I Zona,18,711655.0,9605575.0,711655.0,9605575.0,-73.09459467247063,Defensa Ribereña con Geocontenedores de Geotextil,-3.5664592319591293
75,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Comunidad Campesina Santa Victoria II Zona,18,715411.0,9606284.0,715411.0,9606284.0,-73.06080797579747,Defensa Ribereña con Geocontenedores de Geotextil,-3.5599777274972935
76,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Localidad de Indiana-Sector San Joaquin,18,718202.0,9613068.0,718202.0,9613068.0,-73.03582135100513,Defensa Ribereña con Geocontenedores,-3.498585992763563
77,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Localidad de Indiana-Sector San Juan,18,716700.0,9612523.0,716700.0,9612523.0,-73.04932633717605,Defensa Ribereña con Geocontenedores,-3.5035420419666607
78,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Maniti I Zona,18,739862.0,9610823.0,739862.0,9610823.0,-72.84088799270675,Defensa Ribereña con Geocontenedores,-3.5184517671883877
79,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Nuevo San Juan,18,730467.0,9615434.0,730467.0,9615434.0,-72.92551044096241,Defensa Ribereña con Geocontenedores,-3.476956370486193
80,Amazonas,Iquitos,LORETO,MAYNAS,INDIANA,Yana Mono I Zona,18,735865.0,9618091.0,735865.0,9618091.0,-72.87699749746442,Defensa Ribereña con Geocontenedores,-3.4528266840444504
81,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Bolivar,18,526628.0,9764545.0,526628.0,9764545.0,-74.7605372085032,Construcción de defensa ribereña con geocontenedores,-2.1302066798758004
82,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Mucha Vista,18,588062.0,9745971.0,588062.0,9745971.0,-74.2080016334341,Construcción de defensa ribereña con muro de bolsacreto,-2.29804686965052
83,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Nuevo Bellavista,18,548777.0,9760470.0,548777.0,9760470.0,-74.56134610472056,Construcción de defensa ribereña con muro de bolsacreto,-2.1670287988158448
84,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Nuevo Libertad,18,594050.0,9740416.0,594050.0,9740416.0,-74.15412160878847,Construcción de defensa ribereña con muro de bolsacreto,-2.348267307685691
85,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Nuevo Yarina,18,574078.0,9746973.0,574078.0,9746973.0,-74.33376670378124,Construcción de defensa ribereña con muro de bolsacreto,-2.2890467796786957
86,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa San Rafael,18,598700.74,9738755.97,598700.74,9738755.97,-74.1122870019305,Construcción de defensa ribereña con geocontenedores,-2.363257970180253
87,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Santa Maria,18,581848.0,9745809.0,581848.0,9745809.0,-74.26388417447808,Construcción de defensa ribereña con muro de bolsacreto,-2.2995424495788637
88,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Soledad,18,559230.0,9749184.0,559230.0,9749184.0,-74.46730774411918,Construcción de defensa ribereña con geocontenedores,-2.269100492540196
89,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Nativa Tipishca,18,565348.0,9746222.0,565348.0,9746222.0,-74.41227573410893,Construcción de defensa ribereña con muro de bolsacreto,-2.2958753629874584
90,Amazonas,Iquitos,LORETO,MAYNAS,NAPO,Comunidad Yacapana,18,685711.63,9537995.47,685711.63,9537995.47,-73.3268760210889,Construcción de defensa ribereña con geocontenedores,-4.1780379316513665
91,Amazonas,Iquitos,LORETO,MAYNAS,PUNCHANA,AA.HH.Glenda Freitas-Puente 02 de setiembre,18,692824.0,9588388.0,692824.0,9588388.0,-73.26376605246016,Defensa Ribereña con Geocontenedores,-3.722213974015628
92,Amazonas,Iquitos,LORETO,MAYNAS,SAN JUAN BAUTISTA,Localidad de Cahuide,18,667845.0,9532411.0,667845.0,9532411.0,-73.48770392023641,Defensa Ribereña con Geocontenedores,-4.228869260988948
93,Amazonas,Iquitos,LORETO,PUTUMAYO,PUTUMAYO,C.N.Esperanza,19,175236.0,9736071.0,175236.0,9736071.0,-71.91981621373684,Defensa Ribereña con Geocontenedores,-2.3847173453186055
94,Amazonas,Iquitos,LORETO,PUTUMAYO,PUTUMAYO,Localidad de San Antonio del Estrecho-Sector Carretera a la Base de la Marina y el Ejercito,18,758198.0,9728774.0,758198.0,9728774.0,-72.67816552729418,Defensa Ribereña con Geocontenedores,-2.451826001046083
95,Amazonas,Iquitos,LORETO,PUTUMAYO,PUTUMAYO,Localidad de San Antonio del Estrecho-Sector del Mercado Principal,18,759041.0,9729270.0,759041.0,9729270.0,-72.67059684170106,Defensa Ribereña con Geocontenedores,-2.4473291088239
96,Amazonas,Iquitos,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,C.P. Puerto libertad,18,515648.0,9973083.0,515648.0,9973083.0,-74.8593742549077,Defensa Ribereña con Geocontenedores,-0.2435257895911866
97,Amazonas,Iquitos,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,C.P. Puerto libertad,18,523194.0,9977697.0,523194.0,9977697.0,-74.79156055646374,Defensa Ribereña con Geocontenedores,-0.2017808847308216
98,Amazonas,Iquitos,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,Centro Poblado Soplin Vargas,18,536337.0,9958750.0,536337.0,9958750.0,-74.6734434535815,Defensa Ribereña con Geocontenedores,-0.37319553472564954
99,Amazonas,Iquitos,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,Comunidad Nativa Yabuyanos,18,626828.0,9863847.0,626828.0,9863847.0,-73.86004284181375,Defensa Ribereña con Geocontenedores,-1.2315716288537222
100,Amazonas,Iquitos,LORETO,PUTUMAYO,YAGUAS,C.N.Remanso,19,258167.0,9733635.0,258167.0,9733635.0,-71.17467624622215,Defensa Ribereña con Geocontenedores,-2.4081281850515937
101,Amazonas,Iquitos,LORETO,PUTUMAYO,YAGUAS,Comunidad Campesina Huapapa,19,341135.0,9719058.0,341135.0,9719058.0,-70.42892678302604,Defensa Ribereña con Geocontenedores,-2.5409589764399048
102,Cañete Fortaleza,Barranca,ANCASH,BOLOGNESI,AQUIA,Aquia,18,265029.0,8885812.0,265029.0,8885812.0,-77.14398729549708,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.072414007374721
103,Cañete Fortaleza,Barranca,ANCASH,BOLOGNESI,AQUIA,Aquia,18,264743.0,8885588.0,264743.0,8885588.0,-77.14660902396301,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.074421617197157
104,Cañete Fortaleza,Barranca,ANCASH,BOLOGNESI,AQUIA,Aquia,18,264386.0,8885026.0,264386.0,8885026.0,-77.14989856322963,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.079479871387461
105,Cañete Fortaleza,Barranca,ANCASH,BOLOGNESI,AQUIA,Aquia,18,265733.0,8885855.0,265733.0,8885855.0,-77.13756419924847,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.072066963727751
106,Cañete Fortaleza,Barranca,ANCASH,OCROS,COCHAS,Alpas,18,226386.0,8823241.0,226386.0,8823241.0,-77.50084718842528,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,-10.635314093586059
107,Cañete Fortaleza,Barranca,ANCASH,OCROS,COCHAS,Alpas,18,224048.0,8822740.0,224048.0,8822740.0,-77.5222395485397,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,-10.639669818333537
108,Cañete Fortaleza,Barranca,ANCASH,OCROS,COCHAS,Cochas,18,219161.0,8820822.0,219161.0,8820822.0,-77.56702170924639,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,-10.656636803420518
109,Cañete Fortaleza,Barranca,ANCASH,OCROS,SAN PEDRO,Aucayco-Pacayal Chico,18,204667.0,8836162.0,204667.0,8836162.0,-77.69819226097187,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.516939255003475
110,Cañete Fortaleza,Barranca,LIMA,BARRANCA,BARRANCA,Araya Grande,18,213816.0,8819324.0,213816.0,8819324.0,-77.61595860735582,Proteccion con roca al volteo,-10.669766631725889
111,Cañete Fortaleza,Barranca,LIMA,BARRANCA,BARRANCA,Las Huertas,18,210117.0,8819382.0,210117.0,8819382.0,-77.64974106589418,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Pativilca,-10.66895810383798
112,Cañete Fortaleza,Barranca,LIMA,BARRANCA,BARRANCA,Roncador,18,208128.0,8819524.0,208128.0,8819524.0,-77.66789715513636,Descolmatacion y proteccion con roca al volteo,-10.667520735767118
113,Cañete Fortaleza,Barranca,LIMA,BARRANCA,BARRANCA,Vinto,18,204743.0,8818100.0,204743.0,8818100.0,-77.69892810871889,Descolmatacion y proteccion con roca al volteo,-10.680119985702488
114,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Caballete - Lampay,18,197432.0,8830101.0,197432.0,8830101.0,-77.7647281958817,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.571123270516027
115,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Huaco Alto - Huaricanga,18,199094.0,8840477.0,199094.0,8840477.0,-77.74872296466299,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.477521127812691
116,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Malvado Alto,18,212041.0,8857792.0,212041.0,8857792.0,-77.62923241983607,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.322083434051436
117,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Manas,18,207884.0,8852151.0,207884.0,8852151.0,-77.66759067393095,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.372735909391022
118,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Pacush-Puente Huancar,18,210694.0,8854721.0,210694.0,8854721.0,-77.6417542385067,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.349728679637076
119,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Sauce Chico- Montegrande,18,200883.0,8844758.0,200883.0,8844758.0,-77.73205520230314,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.438987373272269
120,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PARAMONGA,Tranca-Desembocaudura rio Fortaleza,18,199764.0,8831885.0,199764.0,8831885.0,-77.74329336541774,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,-10.555192840105548
121,Cañete Fortaleza,Barranca,LIMA,BARRANCA,PATIVILCA,Bernabe,18,213558.0,8819630.0,213558.0,8819630.0,-77.61829157099034,Proteccion con roca al volteo,-10.666982286460607
